work_order_number,sales_order_number,sales_order_line,work_unit_name,work_unit_description,unit_type,work_unit_qty,item_rate,total_rate
WO-35000017,SO-900017,SOL-1500081,ACA00A-ESE22,Aerial cable design footage,Foot,188,0.36,67.68
WO-35000017,SO-900017,SOL-1500082,ACA02A-ESE22,Buried cable design footage,Foot,106,0.27,28.62
WO-35000017,SO-900017,SOL-1500083,POL00A-ESE22,Pole loading analysis,Pole,6,22.5,135.0
WO-35000018,SO-900018,SOL-1500084,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000018,SO-900018,SOL-1500085,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000018,SO-900018,SOL-1500086,ACA02A-ESE22,Buried cable design footage,Foot,294,0.27,79.38
WO-35000018,SO-900018,SOL-1500087,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
WO-35000019,SO-900019,SOL-1500088,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000019,SO-990019,SOL-1500089,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000019,SO-990019,SOL-1500090,ACA02A-ESE22,Buried cable design footage,Foot,360,0.27,97.2
WO-35000019,SO-990019,SOL-1500091,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000020,SO-900020,SOL-1500092,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000020,SO-900020,SOL-1500093,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000020,SO-900020,SOL-1500094,ACA02A-ESE22,Buried cable design footage,Foot,1140,0.27,307.8
WO-35000020,SO-900020,SOL-1500095,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
WO-35000020,SO-900020,SOL-1500096,FQC00A-ESE22,Field quality control,Each,1,65.0,65.0
WO-35000021,SO-900021,SOL-1500097,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000021,SO-900021,SOL-1500098,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000021,SO-900021,SOL-1500099,ACA02A-ESE22,Buried cable design footage,Foot,882,0.27,238.14
WO-35000022,SO-900022,SOL-1500100,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000022,SO-900022,SOL-1500101,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000022,SO-900022,SOL-1500102,ACA00A-ESE22,Aerial cable design footage,Foot,419,0.36,150.84
WO-35000022,SO-900022,SOL-1500103,ACA02A-ESE22,Buried cable design footage,Foot,492,0.27,132.84
WO-35000023,SO-900023,SOL-1500104,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000023,SO-900023,SOL-1500105,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000023,SO-900023,SOL-1500106,ACA00A-ESE22,Aerial cable design footage,Foot,1564,0.36,563.04
WO-35000023,SO-900023,SOL-1500107,ACA02A-ESE22,Buried cable design footage,Foot,548,0.27,147.96
WO-35000023,SO-900023,SOL-1500108,POL00A-ESE22,Pole loading analysis,Pole,18,22.5,405.0
WO-35000024,SO-900024,SOL-1500109,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000024,SO-900024,SOL-1500110,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000024,SO-900024,SOL-1500111,ACA00A-ESE22,Aerial cable design footage,Foot,1364,0.36,491.04
WO-35000024,SO-900024,SOL-1500112,ACA02A-ESE22,Buried cable design footage,Foot,1169,0.27,315.63
WO-35000024,SO-900024,SOL-1500113,POL00A-ESE22,Pole loading analysis,Pole,15,22.5,337.5
WO-35000024,SO-900024,SOL-1500114,PRM00A-ESE22,Permit package,Each,1,145.0,145.0
WO-35000025,SO-900025,SOL-1500115,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000025,SO-900025,SOL-1500116,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000025,SO-900025,SOL-1500117,ACA02A-ESE22,Buried cable design footage,Foot,215,0.27,58.05
WO-35000026,SO-900026,SOL-1500118,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000026,SO-900026,SOL-1500119,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000026,SO-900026,SOL-1500120,ACA00A-ESE22,Aerial cable design footage,Foot,1588,0.36,571.68
WO-35000026,SO-900026,SOL-1500121,POL00A-ESE22,Pole loading analysis,Pole,8,22.5,180.0
WO-35000027,SO-900027,SOL-1500122,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000027,SO-900027,SOL-1500123,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000028,SO-900028,SOL-1500124,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000028,SO-900028,SOL-1500125,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000028,SO-900028,SOL-1500126,ACA02A-ESE22,Buried cable design footage,Foot,412,0.27,111.24
WO-35000029,SO-900029,SOL-1500127,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000029,SO-900029,SOL-1500128,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000029,SO-900029,SOL-1500129,ACA00A-ESE22,Aerial cable design footage,Foot,931,0.36,335.16
WO-35000029,SO-900029,SOL-1500130,POL00A-ESE22,Pole loading analysis,Pole,10,22.5,225.0
WO-35000029,SO-900029,SOL-1500131,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
WO-35000030,SO-900030,SOL-1500132,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000030,SO-900030,SOL-1500133,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000030,SO-900030,SOL-1500134,ACA02A-ESE22,Buried cable design footage,Foot,1139,0.27,307.53
WO-35000031,SO-900031,SOL-1500135,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000031,SO-900031,SOL-1500136,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000031,SO-900031,SOL-1500137,ACA02A-ESE22,Buried cable design footage,Foot,870,0.27,234.9
WO-35000032,SO-900032,SOL-1500138,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000032,SO-900032,SOL-1500139,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000032,SO-900032,SOL-1500140,ACA00A-ESE22,Aerial cable design footage,Foot,1158,0.36,416.88
WO-35000032,SO-900032,SOL-1500141,POL00A-ESE22,Pole loading analysis,Pole,2,22.5,45.0
WO-35000032,SO-900032,SOL-1500142,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000032,SO-900032,SOL-1500143,FQC00A-ESE22,Field quality control,Each,1,65.0,65.0
WO-35000033,SO-900033,SOL-1500144,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000033,SO-900033,SOL-1500145,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000033,SO-900033,SOL-1500146,ACA00A-ESE22,Aerial cable design footage,Foot,392,0.36,141.12
WO-35000033,SO-900033,SOL-1500147,ACA02A-ESE22,Buried cable design footage,Foot,813,0.27,219.51
WO-35000033,SO-900033,SOL-1500148,POL00A-ESE22,Pole loading analysis,Pole,15,22.5,337.5
WO-35000033,SO-900033,SOL-1500149,FQC00A-ESE22,Field quality control,Each,1,65.0,65.0
WO-35000034,SO-900034,SOL-1500150,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000034,SO-900034,SOL-1500151,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000034,SO-900034,SOL-1500152,ACA00A-ESE22,Aerial cable design footage,Foot,1080,0.36,388.8
WO-35000034,SO-900034,SOL-1500153,ACA02A-ESE22,Buried cable design footage,Foot,112,0.27,30.24
WO-35000034,SO-900034,SOL-1500154,POL00A-ESE22,Pole loading analysis,Pole,15,22.5,337.5
WO-35000034,SO-900034,SOL-1500155,PRM00A-ESE22,Permit package,Each,1,145.0,145.0
WO-35000035,SO-900035,SOL-1500156,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000035,SO-900035,SOL-1500157,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000035,SO-900035,SOL-1500158,ACA00A-ESE22,Aerial cable design footage,Foot,413,0.36,148.68
WO-35000035,SO-900035,SOL-1500159,ACA02A-ESE22,Buried cable design footage,Foot,971,0.27,262.17
WO-35000035,SO-900035,SOL-1500160,POL00A-ESE22,Pole loading analysis,Pole,3,22.5,67.5
WO-35000035,SO-900035,SOL-1500161,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000036,SO-900036,SOL-1500162,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000036,SO-900036,SOL-1500163,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000036,SO-900036,SOL-1500164,ACA00A-ESE22,Aerial cable design footage,Foot,501,0.36,180.36
WO-35000036,SO-900036,SOL-1500165,PRM00A-ESE22,Permit package,Each,1,145.0,145.0
WO-35000036,SO-900036,SOL-1500166,FQC00A-ESE22,Field quality control,Each,1,65.0,65.0
WO-35000037,SO-900037,SOL-1500167,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000037,SO-900037,SOL-1500168,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000037,SO-900037,SOL-1500169,PRM00A-ESE22,Permit package,Each,1,145.0,145.0
WO-35000038,SO-900038,SOL-1500170,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000038,SO-900038,SOL-1500171,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000038,SO-900038,SOL-1500172,ACA00A-ESE22,Aerial cable design footage,Foot,1167,0.36,420.12
WO-35000038,SO-900038,SOL-1500173,POL00A-ESE22,Pole loading analysis,Pole,4,22.5,90.0
WO-35000038,SO-900038,SOL-1500174,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
WO-35000038,SO-900038,SOL-1500175,FQC00A-ESE22,Field quality control,Each,2,65.0,130.0
WO-35000039,SO-900039,SOL-1500176,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000039,SO-900039,SOL-1500177,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000039,SO-900039,SOL-1500178,ACA00A-ESE22,Aerial cable design footage,Foot,746,0.36,268.56
WO-35000040,SO-900040,SOL-1500179,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000040,SO-900040,SOL-1500180,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000040,SO-900040,SOL-1500181,ACA00A-ESE22,Aerial cable design footage,Foot,582,0.36,209.52
WO-35000040,SO-900040,SOL-1500182,ACA02A-ESE22,Buried cable design footage,Foot,1184,0.27,319.68
WO-35000040,SO-900040,SOL-1500183,POL00A-ESE22,Pole loading analysis,Pole,9,22.5,202.5
WO-35000040,SO-900040,SOL-1500184,FQC00A-ESE22,Field quality control,Each,2,65.0,130.0
WO-35000041,SO-900041,SOL-1500185,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000041,SO-900041,SOL-1500186,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000041,SO-900041,SOL-1500187,ACA00A-ESE22,Aerial cable design footage,Foot,830,0.36,298.8
WO-35000041,SO-900041,SOL-1500188,POL00A-ESE22,Pole loading analysis,Pole,18,22.5,405.0
WO-35000041,SO-900041,SOL-1500189,FQC00A-ESE22,Field quality control,Each,1,65.0,65.0
WO-35000042,SO-900042,SOL-1500190,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000042,SO-900042,SOL-1500191,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000042,SO-900042,SOL-1500192,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
WO-35000043,SO-900043,SOL-1500193,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000043,SO-900043,SOL-1500194,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000043,SO-900043,SOL-1500195,ACA00A-ESE22,Aerial cable design footage,Foot,1382,0.36,497.52
WO-35000043,SO-900043,SOL-1500196,POL00A-ESE22,Pole loading analysis,Pole,11,22.5,247.5
WO-35000044,SO-900044,SOL-1500197,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000044,SO-900044,SOL-1500198,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000044,SO-900044,SOL-1500199,ACA00A-ESE22,Aerial cable design footage,Foot,194,0.36,69.84
WO-35000044,SO-900044,SOL-1500200,POL00A-ESE22,Pole loading analysis,Pole,3,22.5,67.5
WO-35000045,SO-900045,SOL-1500201,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000045,SO-990045,SOL-1500202,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000045,SO-990045,SOL-1500203,ACA00A-ESE22,Aerial cable design footage,Foot,1367,0.36,492.12
WO-35000045,SO-990045,SOL-1500204,ACA02A-ESE22,Buried cable design footage,Foot,1302,0.27,351.54
WO-35000045,SO-990045,SOL-1500205,POL00A-ESE22,Pole loading analysis,Pole,12,22.5,270.0
WO-35000046,SO-900046,SOL-1500206,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000046,SO-900046,SOL-1500207,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000046,SO-900046,SOL-1500208,ACA00A-ESE22,Aerial cable design footage,Foot,1029,0.36,370.44
WO-35000046,SO-900046,SOL-1500209,POL00A-ESE22,Pole loading analysis,Pole,4,22.5,90.0
WO-35000046,SO-900046,SOL-1500210,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
WO-35000046,SO-900046,SOL-1500211,FQC00A-ESE22,Field quality control,Each,1,65.0,65.0
WO-35000047,SO-900047,SOL-1500212,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000047,SO-900047,SOL-1500213,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000047,SO-900047,SOL-1500214,ACA00A-ESE22,Aerial cable design footage,Foot,580,0.36,208.8
WO-35000047,SO-900047,SOL-1500215,POL00A-ESE22,Pole loading analysis,Pole,18,22.5,405.0
WO-35000047,SO-900047,SOL-1500216,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000048,SO-900048,SOL-1500217,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000048,SO-900048,SOL-1500218,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000048,SO-900048,SOL-1500219,ACA00A-ESE22,Aerial cable design footage,Foot,728,0.36,262.08
WO-35000048,SO-900048,SOL-1500220,ACA02A-ESE22,Buried cable design footage,Foot,308,0.27,83.16
WO-35000048,SO-900048,SOL-1500221,POL00A-ESE22,Pole loading analysis,Pole,2,22.5,45.0
WO-35000049,SO-900049,SOL-1500222,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000049,SO-900049,SOL-1500223,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000049,SO-900049,SOL-1500224,ACA00A-ESE22,Aerial cable design footage,Foot,559,0.36,201.24
WO-35000049,SO-900049,SOL-1500225,FQC00A-ESE22,Field quality control,Each,1,65.0,65.0
WO-35000050,SO-900050,SOL-1500226,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000050,SO-900050,SOL-1500227,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000050,SO-900050,SOL-1500228,ACA00A-ESE22,Aerial cable design footage,Foot,692,0.36,249.12
WO-35000050,SO-900050,SOL-1500229,ACA02A-ESE22,Buried cable design footage,Foot,903,0.27,243.81
WO-35000051,SO-900051,SOL-1500230,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000051,SO-900051,SOL-1500231,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000051,SO-900051,SOL-1500232,ACA02A-ESE22,Buried cable design footage,Foot,1181,0.27,318.87
WO-35000051,SO-900051,SOL-1500233,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000052,SO-900052,SOL-1500234,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000052,SO-900052,SOL-1500235,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000052,SO-900052,SOL-1500236,FQC00A-ESE22,Field quality control,Each,1,65.0,65.0
WO-35000053,SO-900053,SOL-1500237,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000053,SO-900053,SOL-1500238,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000053,SO-900053,SOL-1500239,ACA00A-ESE22,Aerial cable design footage,Foot,1085,0.36,390.6
WO-35000053,SO-900053,SOL-1500240,POL00A-ESE22,Pole loading analysis,Pole,10,22.5,225.0
WO-35000053,SO-900053,SOL-1500241,FQC00A-ESE22,Field quality control,Each,2,65.0,130.0
WO-35000054,SO-900054,SOL-1500242,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000054,SO-900054,SOL-1500243,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000054,SO-900054,SOL-1500244,ACA00A-ESE22,Aerial cable design footage,Foot,713,0.36,256.68
WO-35000054,SO-900054,SOL-1500245,POL00A-ESE22,Pole loading analysis,Pole,14,22.5,315.0
WO-35000055,SO-900055,SOL-1500246,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000055,SO-900055,SOL-1500247,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000055,SO-900055,SOL-1500248,ACA02A-ESE22,Buried cable design footage,Foot,998,0.27,269.46
WO-35000055,SO-900055,SOL-1500249,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000056,SO-900056,SOL-1500250,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000056,SO-900056,SOL-1500251,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000056,SO-900056,SOL-1500252,ACA00A-ESE22,Aerial cable design footage,Foot,584,0.36,210.24
WO-35000056,SO-900056,SOL-1500253,POL00A-ESE22,Pole loading analysis,Pole,7,22.5,157.5
WO-35000056,SO-900056,SOL-1500254,FQC00A-ESE22,Field quality control,Each,1,65.0,65.0
WO-35000057,SO-900057,SOL-1500255,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000057,SO-900057,SOL-1500256,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000057,SO-900057,SOL-1500257,ACA00A-ESE22,Aerial cable design footage,Foot,341,0.36,122.76
WO-35000057,SO-900057,SOL-1500258,ACA02A-ESE22,Buried cable design footage,Foot,871,0.27,235.17
WO-35000057,SO-900057,SOL-1500259,POL00A-ESE22,Pole loading analysis,Pole,1,22.5,22.5
WO-35000058,SO-900058,SOL-1500260,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
